2026-03-21 17:19:46,957 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 2)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 17:19:47,878 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 2)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 17:26:20,061 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 3)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 17:26:33,341 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 3)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 17:26:35,445 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 3)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 17:39:51,056 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 3)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 17:39:54,501 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 3)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 17:39:55,174 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 3)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 17:46:47,912 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 4)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 17:47:00,542 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 4)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 17:47:02,752 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 4)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 17:59:04,984 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 4)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 17:59:08,323 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 4)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 17:59:08,974 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 4)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:04:46,869 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 5)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:04:53,044 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 5)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:04:54,552 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 5)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:12:44,681 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 5)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:12:47,345 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 5)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:12:48,005 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 5)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:17:54,710 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 6)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:18:00,014 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 6)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:18:01,974 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 6)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:27:43,066 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 6)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:27:45,087 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 6)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:27:45,804 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 6)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:32:15,173 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 7)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:32:19,779 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 7)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:32:20,987 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 7)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:39:19,572 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 7)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:39:21,402 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 7)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:39:21,926 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 7)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:43:09,307 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 8)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:43:12,085 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 8)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:43:12,860 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 8)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:48:10,946 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 8)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 18:48:12,121 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 8)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
