2026-03-19 23:52:47,334 | INFO | car_parking_agent | Training finished | agent=DeepQNetwork goal=(2, 1) episodes_run=831 successes=807 final_epsilon=0.0500
2026-03-19 23:52:47,334 | INFO | car_parking_agent | Testing started | agent=DeepQNetwork goal=(2, 1) max_steps=50 display=False
2026-03-19 23:52:47,339 | INFO | car_parking_agent | Testing finished | agent=DeepQNetwork goal=(2, 1) success=True steps=10 final_reward=100 path=[(6, 5), (6, 4), (6, 3), (6, 2), (6, 1), (6, 0), (5, 0), (4, 0), (3, 0), (2, 0), (2, 1)]
2026-03-19 23:52:47,339 | INFO | car_parking_agent | Goal processing started | goal_index=1 target=(4, 1)
2026-03-19 23:52:47,339 | INFO | car_parking_agent | Training started | agent=QTableAgent goal=(4, 1) episodes=2000 max_steps=100 cutoff=50
2026-03-19 23:52:47,632 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(4, 1) episode=100 avg_reward=8.63 successes_last_100=90 epsilon=0.6058 avg_loss=n/a
2026-03-19 23:52:47,729 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(4, 1) episode=200 avg_reward=83.05 successes_last_100=100 epsilon=0.3670 avg_loss=n/a
2026-03-19 23:52:47,811 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(4, 1) episode=300 avg_reward=89.15 successes_last_100=100 epsilon=0.2223 avg_loss=n/a
2026-03-19 23:52:47,885 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(4, 1) episode=400 avg_reward=92.38 successes_last_100=100 epsilon=0.1347 avg_loss=n/a
2026-03-19 23:52:47,956 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(4, 1) episode=500 avg_reward=93.43 successes_last_100=100 epsilon=0.0816 avg_loss=n/a
2026-03-19 23:52:47,993 | INFO | car_parking_agent | Training stopped early | agent=QTableAgent goal=(4, 1) episode=555 recent_successes=50
2026-03-19 23:52:47,993 | INFO | car_parking_agent | Training finished | agent=QTableAgent goal=(4, 1) episodes_run=555 successes=545 final_epsilon=0.0619
2026-03-19 23:52:47,993 | INFO | car_parking_agent | Testing started | agent=QTableAgent goal=(4, 1) max_steps=50 display=False
2026-03-19 23:52:47,993 | INFO | car_parking_agent | Testing finished | agent=QTableAgent goal=(4, 1) success=True steps=6 final_reward=100 path=[(6, 5), (6, 4), (6, 3), (6, 2), (6, 1), (5, 1), (4, 1)]
2026-03-19 23:52:47,993 | INFO | car_parking_agent | Training started | agent=DoubleQTableAgent goal=(4, 1) episodes=2000 max_steps=100 cutoff=50
2026-03-19 23:52:48,026 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(4, 1) episode=100 avg_reward=5.81 successes_last_100=87 epsilon=0.6058 avg_loss=n/a
2026-03-19 23:52:48,029 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(4, 1) episode=200 avg_reward=80.06 successes_last_100=100 epsilon=0.3670 avg_loss=n/a
2026-03-19 23:52:48,051 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(4, 1) episode=300 avg_reward=88.69 successes_last_100=100 epsilon=0.2223 avg_loss=n/a
2026-03-19 23:52:48,059 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(4, 1) episode=400 avg_reward=92.07 successes_last_100=100 epsilon=0.1347 avg_loss=n/a
2026-03-19 23:52:48,068 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(4, 1) episode=500 avg_reward=93.74 successes_last_100=100 epsilon=0.0816 avg_loss=n/a
2026-03-19 23:52:48,076 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(4, 1) episode=600 avg_reward=94.01 successes_last_100=100 epsilon=0.0500 avg_loss=n/a
2026-03-19 23:52:48,078 | INFO | car_parking_agent | Training stopped early | agent=DoubleQTableAgent goal=(4, 1) episode=621 recent_successes=50
2026-03-19 23:52:48,078 | INFO | car_parking_agent | Training finished | agent=DoubleQTableAgent goal=(4, 1) episodes_run=621 successes=608 final_epsilon=0.0500
2026-03-19 23:52:48,078 | INFO | car_parking_agent | Testing started | agent=DoubleQTableAgent goal=(4, 1) max_steps=50 display=False
2026-03-19 23:52:48,078 | INFO | car_parking_agent | Testing finished | agent=DoubleQTableAgent goal=(4, 1) success=True steps=6 final_reward=100 path=[(6, 5), (6, 4), (6, 3), (5, 3), (5, 2), (5, 1), (4, 1)]
2026-03-19 23:52:48,079 | INFO | car_parking_agent | Training started | agent=DeepQNetwork goal=(4, 1) episodes=2000 max_steps=100 cutoff=50
2026-03-19 23:52:52,893 | INFO | car_parking_agent | Training progress | agent=DeepQNetwork goal=(4, 1) episode=100 avg_reward=15.56 successes_last_100=90 epsilon=0.6058 avg_loss=63.6803
2026-03-19 23:52:54,881 | INFO | car_parking_agent | Training progress | agent=DeepQNetwork goal=(4, 1) episode=200 avg_reward=81.50 successes_last_100=100 epsilon=0.3670 avg_loss=12.8321
2026-03-19 23:52:56,365 | INFO | car_parking_agent | Training progress | agent=DeepQNetwork goal=(4, 1) episode=300 avg_reward=91.01 successes_last_100=100 epsilon=0.2223 avg_loss=7.1862
2026-03-19 23:52:57,829 | INFO | car_parking_agent | Training progress | agent=DeepQNetwork goal=(4, 1) episode=400 avg_reward=92.22 successes_last_100=100 epsilon=0.1347 avg_loss=4.6427
2026-03-19 23:52:59,072 | INFO | car_parking_agent | Training progress | agent=DeepQNetwork goal=(4, 1) episode=500 avg_reward=93.98 successes_last_100=100 epsilon=0.0816 avg_loss=2.5685
2026-03-19 23:53:00,193 | INFO | car_parking_agent | Training stopped early | agent=DeepQNetwork goal=(4, 1) episode=588 recent_successes=50
2026-03-19 23:53:00,193 | INFO | car_parking_agent | Training finished | agent=DeepQNetwork goal=(4, 1) episodes_run=588 successes=578 final_epsilon=0.0525
2026-03-19 23:53:00,193 | INFO | car_parking_agent | Testing started | agent=DeepQNetwork goal=(4, 1) max_steps=50 display=False
2026-03-19 23:53:00,195 | INFO | car_parking_agent | Testing finished | agent=DeepQNetwork goal=(4, 1) success=True steps=6 final_reward=100 path=[(6, 5), (6, 4), (6, 3), (6, 2), (6, 1), (5, 1), (4, 1)]
2026-03-19 23:53:00,195 | INFO | car_parking_agent | Goal processing started | goal_index=2 target=(2, 2)
2026-03-19 23:53:00,196 | INFO | car_parking_agent | Training started | agent=QTableAgent goal=(2, 2) episodes=2000 max_steps=100 cutoff=50
2026-03-19 23:53:00,709 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(2, 2) episode=100 avg_reward=-71.88 successes_last_100=73 epsilon=0.6058 avg_loss=n/a
2026-03-19 23:53:00,888 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(2, 2) episode=200 avg_reward=63.20 successes_last_100=100 epsilon=0.3670 avg_loss=n/a
2026-03-19 23:53:01,023 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(2, 2) episode=300 avg_reward=80.51 successes_last_100=100 epsilon=0.2223 avg_loss=n/a
2026-03-19 23:53:01,132 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(2, 2) episode=400 avg_reward=85.91 successes_last_100=100 epsilon=0.1347 avg_loss=n/a
2026-03-19 23:53:01,249 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(2, 2) episode=500 avg_reward=89.53 successes_last_100=100 epsilon=0.0816 avg_loss=n/a
2026-03-19 23:53:01,355 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(2, 2) episode=600 avg_reward=90.37 successes_last_100=100 epsilon=0.0500 avg_loss=n/a
2026-03-19 23:53:01,458 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(2, 2) episode=700 avg_reward=90.42 successes_last_100=100 epsilon=0.0500 avg_loss=n/a
2026-03-19 23:53:01,559 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(2, 2) episode=800 avg_reward=90.40 successes_last_100=100 epsilon=0.0500 avg_loss=n/a
2026-03-19 23:53:01,565 | INFO | car_parking_agent | Training stopped early | agent=QTableAgent goal=(2, 2) episode=806 recent_successes=50
2026-03-19 23:53:01,566 | INFO | car_parking_agent | Training finished | agent=QTableAgent goal=(2, 2) episodes_run=806 successes=779 final_epsilon=0.0500
2026-03-19 23:53:01,566 | INFO | car_parking_agent | Testing started | agent=QTableAgent goal=(2, 2) max_steps=50 display=False
2026-03-19 23:53:01,566 | INFO | car_parking_agent | Testing finished | agent=QTableAgent goal=(2, 2) success=True steps=9 final_reward=100 path=[(6, 5), (5, 5), (4, 5), (3, 5), (2, 5), (1, 5), (1, 4), (1, 3), (1, 2), (2, 2)]
2026-03-19 23:53:01,566 | INFO | car_parking_agent | Training started | agent=DoubleQTableAgent goal=(2, 2) episodes=2000 max_steps=100 cutoff=50
2026-03-19 23:53:01,621 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(2, 2) episode=100 avg_reward=-79.05 successes_last_100=70 epsilon=0.6058 avg_loss=n/a
2026-03-19 23:53:01,643 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(2, 2) episode=200 avg_reward=60.93 successes_last_100=100 epsilon=0.3670 avg_loss=n/a
2026-03-19 23:53:01,658 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(2, 2) episode=300 avg_reward=80.48 successes_last_100=100 epsilon=0.2223 avg_loss=n/a
